# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-58 -54 0 6abe30
-58 -53 0 6abe30
-58 -52 0 6abe30
-58 -51 0 6abe30
-58 -50 0 6abe30
-58 -49 0 6abe30
-58 -48 0 6abe30
-58 -47 0 6abe30
-58 -46 0 6abe30
-58 -45 0 6abe30
-58 -44 0 6abe30
-58 -43 0 6abe30
-58 -42 0 6abe30
-58 -41 0 6abe30
-58 -40 0 6abe30
-58 -39 0 6abe30
-58 -38 0 6abe30
-58 -37 0 6abe30
-58 -36 0 6abe30
-58 -35 0 6abe30
-58 -34 0 6abe30
-58 -33 0 6abe30
-32 -75 0 6abe30
-31 -75 0 6abe30
-30 -75 0 6abe30
-29 -75 0 6abe30
-28 -75 0 6abe30
-27 -75 0 6abe30
-26 -75 0 6abe30
-25 -75 0 6abe30
-24 -75 0 6abe30
-23 -75 0 6abe30
-22 -75 0 6abe30
-21 -75 0 6abe30
-20 -75 0 6abe30
-19 -75 0 6abe30
-18 -75 0 6abe30
-17 -75 0 6abe30
-16 -75 0 6abe30
-15 -75 0 6abe30
-14 -75 0 6abe30
-13 -75 0 6abe30
-12 -75 0 6abe30
-11 -75 0 6abe30
-10 -75 0 6abe30
-9 -75 0 6abe30
-8 -75 0 6abe30
-7 -75 0 6abe30
-6 -75 0 6abe30
-5 -75 0 6abe30
-4 -75 0 6abe30
-3 -75 0 6abe30
-2 -75 0 6abe30
-1 -75 0 6abe30
0 -75 0 6abe30
1 -75 0 6abe30
2 -75 0 6abe30
3 -75 0 6abe30
4 -75 0 6abe30
5 -75 0 6abe30
6 -75 0 6abe30
6 -74 0 6abe30
6 -73 0 6abe30
6 -72 0 6abe30
6 -71 0 6abe30
6 -70 0 6abe30
6 -69 0 6abe30
6 -68 0 6abe30
6 -67 0 6abe30
6 -66 0 6abe30
6 -65 0 6abe30
6 -64 0 6abe30
6 -63 0 6abe30
6 -62 0 6abe30
6 -61 0 6abe30
6 -60 0 6abe30
6 -59 0 6abe30
6 -58 0 6abe30
6 -57 0 6abe30
6 -56 0 6abe30
6 -55 0 6abe30
6 -54 0 6abe30
6 -53 0 6abe30
6 -52 0 6abe30
6 -51 0 6abe30
6 -50 0 6abe30
6 -49 0 6abe30
6 -48 0 6abe30
6 -47 0 6abe30
7 -47 0 6abe30
8 -47 0 6abe30
9 -47 0 6abe30
10 -47 0 6abe30
11 -47 0 6abe30
12 -47 0 6abe30
13 -47 0 6abe30
14 -47 0 6abe30
15 -47 0 6abe30
16 -47 0 6abe30
17 -47 0 6abe30
18 -47 0 6abe30
19 -47 0 6abe30
20 -47 0 6abe30
21 -47 0 6abe30
22 -47 0 6abe30
23 -47 0 6abe30
24 -47 0 6abe30
25 -47 0 6abe30
26 -47 0 6abe30
27 -47 0 6abe30
28 -47 0 6abe30
29 -47 0 6abe30
30 -47 0 6abe30
31 -47 0 6abe30
32 -47 0 6abe30
33 -47 0 6abe30
34 -47 0 6abe30
35 -47 0 6abe30
36 -47 0 6abe30
37 -47 0 6abe30
38 -47 0 6abe30
39 -47 0 6abe30
40 -47 0 6abe30
41 -47 0 6abe30
42 -47 0 6abe30
43 -47 0 6abe30
44 -47 0 6abe30
45 -47 0 6abe30
46 -47 0 6abe30
47 -47 0 6abe30
48 -47 0 6abe30
49 -47 0 6abe30
50 -47 0 6abe30
51 -47 0 6abe30
52 -47 0 6abe30
53 -47 0 6abe30
54 -47 0 6abe30
55 -47 0 6abe30
55 -46 0 6abe30
55 -45 0 6abe30
55 -44 0 6abe30
55 -43 0 6abe30
55 -42 0 6abe30
55 -41 0 6abe30
55 -40 0 6abe30
55 -39 0 6abe30
55 -38 0 6abe30
55 -37 0 6abe30
55 -36 0 6abe30
55 -35 0 6abe30
55 -34 0 6abe30
55 -33 0 6abe30
55 16 0 6abe30
55 17 0 6abe30
55 18 0 6abe30
55 19 0 6abe30
55 20 0 6abe30
55 21 0 6abe30
55 22 0 6abe30
55 23 0 6abe30
55 24 0 6abe30
55 25 0 6abe30
48 26 0 6abe30
49 26 0 6abe30
50 26 0 6abe30
51 26 0 6abe30
52 26 0 6abe30
53 26 0 6abe30
54 26 0 6abe30
55 26 0 6abe30
16 26 0 6abe30
17 26 0 6abe30
18 26 0 6abe30
19 26 0 6abe30
20 26 0 6abe30
21 26 0 6abe30
22 26 0 6abe30
23 26 0 6abe30
24 26 0 6abe30
25 26 0 6abe30
26 26 0 6abe30
27 26 0 6abe30
